Product Code,Old Product Code,Manufacturer,Product Description,Unit of Measure,Trade Price,Sell Price,Bar Code,Group Description,Sub Group-1 Description,Sub Group-2 Description
10340032,AMPSB9040HD,AMP,AMPSB9040HD: Sweep Bend 40mm 90deg Heavy Duty Orange,EA,0.00,6.10,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10187771,TDRPUSWPVXG,TDR,TDRPUSWPVXG: Switch Blank Grid & Plate WH,EA,0.00,5.92,9349703004368,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10000989,OME009APLC2,OME,OME009APLC2: Enclosure ABS IP66 190x140x70mm Opaque,EA,0.00,24.43,8017521111513,ENCLOSURES,NON METAL ENCLOSURES,NON-METAL ENCLOSURE
10112170,LEGEMPFWE,LEG,LEGEMPFWE: Mech PAL To F WH,EA,0.00,7.39,9321001399889,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMP./TELE/TV SOCKETS & PLATES
10187732,TDRPUSW2G,TDR,TDRPUSW2G: Switch 2 Gang 16A 250V WH,EA,0.00,15.05,9349703004504,BAKELITE,DOMESTIC & ALLIED PRODUCTS,SWITCHES
10239156,AMPC50,AMP,AMPC50: Coupling 50mm Grey Box 10,EA,0.00,6.76,9323441039172,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10081646,CLIC2033HA-WE,CLI,CLIC2033HA-WE: Switch 3 Gang Horiz 10A 250V WH,EA,0.00,22.07,9311554343828,BAKELITE,DOMESTIC & ALLIED PRODUCTS,SWITCHES
10040018,CLI413-WE,CLI,CLI413-WE: Socket Plug Base Surf Mount 10A 250V WH,EA,0.00,3.93,9311554065607,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10306470,AMPCB25,AMP,AMPCB25: Bend 90 Deg 25mm Grey,EA,0.00,2.00,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10041840,CLI449ASD-WE,CLI,CLI449ASD-WE: Mounting Spacer 14mm WH,EA,0.00,6.77,9311554067601,BAKELITE,DOMESTIC & ALLIED PRODUCTS,MOUNTING BLOCKS
10255604,CLIMX9R3110,CLI,CLIMX9R3110: MAX9 RCBO 1PN C 10A 30MA A Slim,EA,0.00,44.80,9311554812676,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10038450,OME40013529,OME,OME40013529: Fluoro Marking Paint 350g Pink Dy-Mark,EA,0.00,8.97,9321126000257,TOOLS  FASTENERS  LADDERS & AC,TOOLS,TOOL ACCESSORIES
10233096,OMEXLP13-4BL,OME,OMEXLP13-4BL: Heatshrink 13- 6.4mm 1.2MT Blue,LN,0.00,5.20,9323441032166,CABLE ACCESSORIES,HEATSHRINK,HEAT SHRINK
10181096,OMEPBUTH812,OME,OMEPBUTH812: Screw Button Head 8g x 12mm,PK,0.00,15.61,9323441004316,TOOLS  FASTENERS  LADDERS & AC,FASTENERS,SCREWS
10096605,OMECW7090R,OME,OMECW7090R: Catenary Wire Galv 7 Strand 0.9mm 180MT,DR,0.00,52.98,9323441016265,CABLE ACCESSORIES,HANGERS/SUPPORTS,HANGERS/SUPPORTS
10039631,CLI40M32COOK-VW,CLI,CLI40M32COOK-VW: Mech 35A 250V Cooker VW,EA,0.00,38.49,9311554786533,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10059982,CLI90B-BK,CLI,CLI90B-BK: Shroud Standard Pattern,EA,0.00,6.53,9311554073930,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10130184,SYAGU10L550TC,SYA,SYAGU10L550TC: LED Lamp GU10 6W 240V 3/4/6K,EA,0.00,8.24,,LIGHT SOURCE (LAMPS & TUBES),LED LAMPS,LED LAMPS
10031188,NLS30048,NLS,NLS30048: Standard Mounting Block 35mm,EA,0.00,1.96,,BAKELITE,DOMESTIC & ALLIED PRODUCTS,MOUNTING BLOCKS
10168514,HAGMSN363,HAG,HAGMSN363: MCB 3 Pole C Curve 6KA 415VAC 63A,EA,0.00,44.75,3250613810184,CIRCUIT BREAKERS,MINIATURE CIRCUIT BREAKER,MCB INDUSTRIAL
10296884,OMEDUECAT6-305GY,OME,OMEDUECAT6-305GY: Cable Data Cat 6 Utp 4Pr PVC 305m Box Grey,BX,0.00,198.25,,DATA COMMUNICATION,DATA & COMMS CABLE,CAT CABLE
10255558,CLIMX9ELG,CLI,CLIMX9ELG: Clipsal Enclosure Green Label,EA,0.00,1.44,9311554814854,DISTRIBUTION BOARDS,INDUSTRIAL SWITCHBOARD CUBICLE,ACCESSORIES FOR IND. SWITCHBOA
10114295,EZYET3150G,EZY,EZYET3150G: Tray Ladder GB 150mm x 3MT,LN,0.00,43.01,9336181012626,CABLE CARRYING & SUPPORT,LADDER TRAY & FITTINGS,METAL LADDER TRAY
10176988,TRDOMZA400,TRD,TRDOMZA400: Zinc All - 400g Aerosol,EA,0.00,15.69,9323441003661,TAPES  SEALANTS & LUBRICANTS,LUBRICANTS,LUBRICANTS
10301873,SYAS9141TC2WH,SYA,SYAS9141TC2WH: Tradegem II LED Downlight 9W 3/4/5.7K Dimmable,EA,0.00,15.21,9328623130838,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10126346,AMPG25J,AMP,AMPG25J: Wall Plugs In Jar Green 25mmx12g (200 pack),JR,0.00,11.51,9318861008488,TOOLS  FASTENERS  LADDERS & AC,FASTENERS,WALL PLUGS / STAR PLUGS
10205765,OMESP-B,OME,OMESP-B: Wallmate Nylon AMPSPB,BX,0.00,27.97,9323441005917,TOOLS  FASTENERS  LADDERS & AC,FASTENERS,SPECIALITY FASTENERS
10188034,VNAPVPXHF250RD,VNA,VNAPVPXHF250RD: Airbus 250 White Round Exhaust Fan PVPXHF250RDR,EA,0.00,177.64,9339310010616,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,EXHAUST FAN & ACCESS. DOMESTIC
10138280,TDRHYJB4TF,TDR,TDRHYJB4TF: Junction Box 68x99x47mm WH,EA,0.00,4.37,9349703012370,BAKELITE,DOMESTIC & ALLIED PRODUCTS,JUNCTION BOXES
10255570,CLIMX9MC140,CLI,CLIMX9MC140: MAX9 MCB 1 POLE C CURVE 6KA 240VAC 40A,EA,0.00,6.67,,CIRCUIT BREAKERS,MINIATURE CIRCUIT BREAKER,MCB INDUSTRIAL
10187697,TDRPUPP2USB2GAC,TDR,TDRPUPP2USB2GAC: Dual USB Charger Power Point,EA,0.00,87.34,9349703021525,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMBINATIONS
10112204,LEGEMRJ45C6WE,LEG,LEGEMRJ45C6WE: Mech RJ45 Jack C6 White,EA,0.00,11.83,9321001400035,DATA COMMUNICATION,CONNECTION METHODS,CONNECTION METHODS
10242002,AMPRP3225,AMP,AMPRP3225: Reducer 32-25mm Grey Box 50,EA,0.00,1.56,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10181625,OCEPCERT,OCE,OCEPCERT: Prescribed Certificate/Electrical Safety,EA,0.00,42.00,,MISCELLANEOUS,MISCELLANEOUS,OCEI CERTIFICATES
10079462,AUSBU20WH,AUS,AUSBU20WH: Bush 20mm White,EA,0.00,0.74,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10113181,FNTEPFL150,FNT,FNTEPFL150: Plastic Fixed Louvre 150 Dia C/W Flywire,EA,0.00,17.85,932597100830,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,EXHAUST FAN & ACCESS. INDUSTRI
10361325,AGY1150,AGY,AGY1150: DC Solar Label Kit  V3 - New As/Nzs 5033,EA,0.00,24.19,,POWER SUPPLY,POWER SUPPLY SOLAR,SOLAR ACCESSORIES
10233044,OMEXLP10-4BK,OME,OMEXLP10-4BK: Heatshrink 10- 4.8mm 1.2MT Black,LN,0.00,5.06,9323441031800,CABLE ACCESSORIES,HEATSHRINK,HEAT SHRINK
10015969,OME16,OME,OME16: Cable Gland Nylon 16mm IP68 5-10mm OD,EA,0.00,1.33,9323441000028,CABLE ACCESSORIES,GLANDS,PVC CABLE GLANDS
10031552,CLI3025USBAC-VW,CLI,CLI3025USBAC-VW: Socket SW Hor Twin 1XEX2USBCHRG A+C,EA,0.00,88.58,9311554799632,BAKELITE,ICONIC,COMBINATIONS
10240518,AMPIT25,AMP,AMPIT25: Inspection Tee 25mm Grey Box 10,EA,0.00,2.08,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10320245,AGY1091,AGY,AGY1091: 2 C 4Mm Solar DC Cable Tonglin Iec 62930,RL,0.00,190.29,,CABLE,PVC POWER CABLE,CABLE SOLAR
10176387,OMEOCCQS6-100,OME,OMEOCCQS6-100: Cable RG6 Coax Quad Shield 100M Reel BK,DR,0.00,53.96,9323441005221,DATA COMMUNICATION,DATA & COMMS CABLE,COAXIAL CABLE
10240527,AMPJB202,AMP,AMPJB202: Junction Box 20mm Two Way Box 10,EA,0.00,2.28,9323441039073,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10363617,HALVIVA-LP,HAL,HALVIVA-LP: VIVA LOW PROFILE  (38mm) LED 8W FIXED D/L  TRITONE DIMMABLE,EA,0.00,11.02, 9353931008487,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10081256,CLIC2015D4-WE,CLI,CLIC2015D4-WE: Powerpoint 4 Gang 10A 250V D/Pole WH,EA,0.00,38.61,9311554401719,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMBINATIONS
10221414,OMEUGWT150-50,OME,OMEUGWT150-50: Tape Warning U/ G Elec 150mm x 50MT RED,CL,0.00,16.53,9323441039684,TAPES  SEALANTS & LUBRICANTS,TAPES,TAPES
10233145,OMEXLP20-4BK,OME,OMEXLP20-4BK: Heatshrink 20- 9.5mm 1.2MT Black,LN,0.00,6.24,9323441032432,CABLE ACCESSORIES,HEATSHRINK,HEAT SHRINK
10255592,CLIMX9MC363,CLI,CLIMX9MC363: MAX9 MCB 3 POLE C CURVE 6KA 415VAC 63A,EA,0.00,45.81,9311554814038,CIRCUIT BREAKERS,MINIATURE CIRCUIT BREAKER,MCB INDUSTRIAL
10282671,OMEPB1M,OME,OMEPB1M: Plug Base 10A 3Pin 59Mm Dia,EA,0.00,2.52,,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PLUGS  BASES  ROSES & SOCKETS
10125031,ETCFT2CE7085,ETC,ETCFT2CE7085: Cable Flat 2 Core & Earth 4.0mm,MT,0.00,4.01,,CABLE,PVC POWER CABLE,FLAT  TPS  POWER CABLE
10157318,SYALT8/120TC,SYA,SYALT8/120TC: LED Tube 18W 1200mm 3/4/6K,EA,0.00,13.56,,LIGHT SOURCE (LAMPS & TUBES),LED LAMPS,LED LAMPS
10248646,ETCOC4CE7170/500,ETC,ETCOC4CE7170/500: Cable Orange Circular 4 C & E 16mm,EA,0.00,24.89,,CABLE,PVC POWER CABLE,ORANGE CIRCULAR CABLE
10260648,BSK30840464,BSK,BSK30840464: Bostik PVC Pipe Cement Type N Blue 500ml,EA,0.00,9.88,,TAPES  SEALANTS & LUBRICANTS,ADHESIVES/SEALANTS,ADHESIVES/SEALANTS
10039775,IPM50201073,IPM,IPM50201073: P5 Cover Composite Smart Telstra Class B  647x397x50mm,EA,0.00,103.96,,COMMUNICATION,TELSTRA NETWORK PRODUCTS,TELSTRA PIT LIDS
10142948,TRDJL3-1000,TRD,TRDJL3-1000: Rope Pull Line Poly 3mm x 1000M Orange,RO,0.00,73.67,9323441036126,COMMUNICATION,TELSTRA NETWORK PRODUCTS,CABLE HAULING
10172476,OCENCERT,OCE,OCENCERT: Non Prescribed Certificate/Elect Safety,EA,0.00,10.00,,MISCELLANEOUS,MISCELLANEOUS,OCEI CERTIFICATES
10260647,BSK30840463,BSK,BSK30840463: Bostik PVC Pipe Cement Type N Blue 250ml,EA,0.00,7.53,9310492259970,TAPES  SEALANTS & LUBRICANTS,ADHESIVES/SEALANTS,ADHESIVES/SEALANTS
10081707,CLIC2034VH-WE,CLI,CLIC2034VH-WE: Switch 4 Gang Grid & Plate WH,EA,0.00,9.16,9311554325022,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10135656,TRDHSHDG25,TRD,TRDHSHDG25: Saddle Half 25mm HDG,EA,0.00,0.67,9323441016968,BAKELITE,DOMESTIC & ALLIED PRODUCTS,SADDLES  CONDUIT FIXING
10001153,OME010APLC2,OME,OME010APLC2: Enclosure ABS IP66 240x190x90mm Opaque,EA,0.00,47.29,8017521111520,ENCLOSURES,NON METAL ENCLOSURES,NON-METAL ENCLOSURE
10081665,CLIC2033VH-WE,CLI,CLIC2033VH-WE: Switch 3 Gang Grid & Plate WH,EA,0.00,7.36,9311554323882,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10192969,CLIRMXPC1,CLI,CLIRMXPC1: Cable Connector Resi Max 1 Mod (4),EA,0.00,21.31,3606480795831,BAKELITE,CONSUMER FUSE & SWITCHBOARDS,CONSUMER SWITCHBOARD-DIN/PORC.
10041168,CLI439S15-TR,CLI,CLI439S15-TR: Plug Top Straight 15A 250V Trans,EA,0.00,9.88,9311554596026,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PLUGS  BASES  ROSES & SOCKETS
10376975,OMEJB6,OME,OMEJB6: FND Junction Box Large 100x70x48mm Quarter Turn white,EA,0.00,2.81,,ENCLOSURES,ADAPTABLE BOXES & J BOXES,ADAPTABLE BOXES & J BOXES
10022411,CLI2031VA-WE,CLI,CLI2031VA-WE: Switch 1 Gang Vert 10A 250V WH,EA,0.00,8.44,9311554000783,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10398078,RESPG250RNWH,FNT,FNTRESPG250RNWH: Response Grille To Suit 250 Exhaust Fan Round  White,EA,0.00,19.63,9325971000530,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,EXHAUST FAN & ACCESS. INDUSTRI
10047254,CLI563K16,CLI,CLI563K16: Connector Insulated 2 Screw,EA,0.00,3.23,9318793008860,CABLE ACCESSORIES,CABLE CONNECTORS,CABLE CONNECTORS
10219071,REPTSEGPO1/15,REP,REPTSEGPO1/15: Powerpoint 1 Gang 15A 250V WH,EA,0.00,11.44,,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMBINATIONS
10108754,CIRECV1036,CIR,CIRECV1036: Service Fuse 100A Back Wire,EA,0.00,15.68,9323441026790,AERIAL CABLE & DISTR. PARTS,MAINS CONNECTION BOXES,MAINS CONNECTION BOXES
10249213,OMETN4,OME,OMETN4: Roof Mount Isolator Bracket,EA,0.00,21.96,9323441039509,AERIAL CABLE & DISTR. PARTS,SUPPORT & RAISER BRACKETS,SUPPORT & RAISER BRACKETS
10283219,SYAFLBP24V5M/WW,SYA,SYAFLBP24V5M/WW: LED Strip Kit  6W/M 24V 5M 3K Cob,EA,0.00,62.34,,LIGHT FITTINGS,LED LIGHT FITTINGS,LED STRIP LIGHTING
10340033,AMPSB9050HD,AMP,AMPSB9050HD: Sweep Bend 50mm 90deg Heavy Duty Orange,EA,0.00,8.93,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10022513,CLI2032VH-WE,CLI,CLI2032VH-WE: Wall Plate 2 Gang Grid & Plate WH,EA,0.00,5.64,9311554046590,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10076138,MRCBE3500SPWH,MRC,MRCBE3500SPWH: Exhaust Fan Novaline II 290mm Round White,EA,0.00,62.57,9312699178450,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,EXHAUST FAN & ACCESS. INDUSTRI
10164908,SYAMINI60,SYA,SYAMINI60: Transformer Elec 12VAC 20-60W Dimmable,EA,0.00,15.73,9328623006058,LIGHTING CONTROL GEAR,HALOGEN CONTROL EQUIP.,HALOGEN TRANSFORMERS
10242001,AMPRP2520,AMP,AMPRP2520: Reducer 25-20mm Grey Box 50,EA,0.00,1.04,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10176274,ETCOC4CE7067/500,ETC,ETCOC4CE7067/500: Cable Orange Circular 4 C & E 2.5mm,MT,0.00,5.39,,CABLE,PVC POWER CABLE,ORANGE CIRCULAR CABLE
10353113,AMPCS16,AMP,AMPCS16: CABLE LINK 16MM,EA,0.00,1.78,9323441042103,CABLE ACCESSORIES,CABLE LUGS & LINKS,CABLE LUGS NON-INSULATED
10094869,NHPCSB12ST,NHP,NHPCSB12ST: Switchboard 12 Mod Surf Mnt Trans Door,EA,0.00,46.44,9321807197443,BAKELITE,CONSUMER FUSE & SWITCHBOARDS,CONSUMER SWITCHBOARD-DIN/PORC.
10013778,HPM140WE,HPM,HPM140WE: Mounting Block 34mm WH,EA,0.00,3.90,9321001005483,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10018211,CLI180/32,CLI,CLI180/32: Saddle Half Zinc 32mm,EA,0.00,0.71,9311554038243,BAKELITE,DOMESTIC & ALLIED PRODUCTS,SADDLES  CONDUIT FIXING
10249035,SYASO3700/40TC/DP2,SYA,SYASO3700/40TC/DP2: LED Oyster 15/30W 390mm,EA,0.00,45.41,9328623122239,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10179274,CLIP3JH1400AL-WE,CLI,CLIP3JH1400AL-WE: Ceiling Swp Fan 3 Alu Bld 1400mm,EA,0.00,110.00,9311554809911,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,CEILING SWEEP FANS
10039633,AUS40MD,AUS,AUS40MD: Conduit PVC Solid 40mm x 4MT Grey,LN,0.00,16.51,9322537008009,PVC CONDUIT & FITTINGS,PVC RIGID CONDUIT,PVC RIGID CONDUIT LIGHT DUTY
10222894,VNAV150FG,VNA,VNAV150FG: Air Inlet/Outlet Grille 150mm,EA,0.00,15.47,9339310001904,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,EXHAUST FAN & ACCESS. DOMESTIC
10086494,TRDCCH2510,TRD,TRDCCH2510: CONDUIT CORR 25MM HD ORG 10M PVC,CL,0.00,32.02,9323441038038,PVC CONDUIT & FITTINGS,PVC CORRUGATED CONDUIT-HD-LD,PVC HEAVY DUTY CORRUGATED COND
10262742,CLIO3025-XW,CLI,CLIO3025-XW: Socket SW Horiz Twin 10A 250V Xw,EA,0.00,36.84,9311554811099,BAKELITE,ICONIC,COMBINATIONS
10184557,SYAPLUTO15DV,SYA,SYAPLUTO15DV: LED Driver 12/ 24V 15W Constant Voltage,EA,0.00,21.51,,LIGHT FITTINGS,LED LIGHT FITTINGS,LED POWER SUPPLY / DRIVER
10000778,OME005PLC2,OME,OME005PLC2: Enclosure ABS IP66 100x100x50mm Opaque,EA,0.00,11.57,8017521111209,ENCLOSURES,NON METAL ENCLOSURES,NON-METAL ENCLOSURE
10035434,HPM360/W1WE,HPM,HPM360/W1WE: Batten Holder Angled IP23 BC 250V WH,EA,0.00,20.85,9321001013488,BAKELITE,DOMESTIC & ALLIED PRODUCTS,LAMPHOLDERS/BATTEN HOLDERS
10086501,TRDCCH4010,TRD,TRDCCH4010: CONDUIT CORR 40MM HD ORG 10M PVC,CL,0.00,87.48,9323441038090,PVC CONDUIT & FITTINGS,PVC CORRUGATED CONDUIT-HD-LD,PVC HEAVY DUTY CORRUGATED COND
10031894,CLI3044VH-VW,CLI,CLI3044VH-VW: Switch 4 Gang Grid & Plate VW,EA,0.00,11.03,9311554793241,BAKELITE,ICONIC,PVC PLATES  GRIDS & MECHS
10376531,NHPMD6RS2030A,NHP,NHPMD6RS2030A:  MOD6+ RCBO 6kA 1P+N 20A C  Curve 30mA TYPE A 3T PIGTAIL,EA,0.00,38.60,6925897500508,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10142671,OMEJC2525,OME,OMEJC2525: Jack Chain Zinc Bucket 2.5mm x 25MT,BU,0.00,27.97,9323441000325,CABLE ACCESSORIES,HANGERS/SUPPORTS,HANGERS/SUPPORTS
10229050,CLIWHA120-RG,CLI,CLIWHA120-RG: Isolator SW 1P 20A 250VAC IP66 Mini RG,EA,0.00,20.81,9311554644475,BAKELITE,DOMESTIC & ALLIED PRODUCTS,W/PROOF COMBINATIONS SWITCHES
10255571,CLIMX9MC150,CLI,CLIMX9MC150: MAX9 MCB 1 POLE C CURVE 6KA 240VAC 50A,EA,0.00,6.67,,CIRCUIT BREAKERS,MINIATURE CIRCUIT BREAKER,MCB INDUSTRIAL
10355801,VNAVAD150-B,VNA,VNAVAD150-B: 150mm x 6m Builder Spec Flexible Duct 3 Z  box of 10 only sold in carto,EA,0.00,12.37,9339310014706,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,EXHAUST FAN & ACCESS. DOMESTIC
10152545,SYALGS10TC/E27,SYA,SYALGS10TC/E27: Opal/Lamp/ 9.5W/TC/Nondim/E27,EA,0.00,6.28,,LIGHT SOURCE (LAMPS & TUBES),LED LAMPS,LED LAMPS
10138309,TDRHYSMB2025,TDR,TDRHYSMB2025: Mounting Box 20/ 25mm Entries WH,EA,0.00,7.31,9349703007871,BAKELITE,DOMESTIC & ALLIED PRODUCTS,WALL FLOOR BOX & BRACKETS
10284060,TDRDGPOSW,TDR,TDRDGPOSW: Gpo 2G 10A 250V With 10Ax Switch Mech,EA,0.00,24.32,9349703037755,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMBINATIONS
10080114,ETCBW7085GY,ETC,ETCBW7085GY: Cable Building Wire 4.00mm Green/Yellow,MT,0.00,2.00,,CABLE,PVC POWER CABLE,BUILDING WIRE
10176329,ETCOC4CE7135/500,ETC,ETCOC4CE7135/500: Cable Orange Circular 4 C & E 10mm,MT,0.00,16.79,,CABLE,PVC POWER CABLE,ORANGE CIRCULAR CABLE
10283218,SYAFLBP24V2M/WW,SYA,SYAFLBP24V2M/WW: LED Strip Kit  6W/M 24V 2M 3K Cob,EA,0.00,34.13,,LIGHT FITTINGS,LED LIGHT FITTINGS,LED STRIP LIGHTING
10382705,THTST45A,THT,THTST45A: INFRA MOTION SENSOR 240V/AC 360DEG 800W IP20,EA,0.00,21.38,,BAKELITE,ELECTRONIC PRODUCTS,PIR SENSOR / SURGE ARRESTOR
10215332,OMETEL17,OME,OMETEL17: Screw S/S Hex Washer Head 14-10x35mm (100 pack),PK,0.00,46.41,9323441001650,COMMUNICATION,TELSTRA NETWORK PRODUCTS,TELSTRA MISCELLANEOUS
10255612,CLIMX9R3132,CLI,CLIMX9R3132: MAX9 RCBO 1PN C 32A 30MA A Slim,EA,0.00,44.80,,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10125033,PIRFT2CE7085,PIR,PIRFT2CE7085: Cable Flat 2 Core & Earth 4.0mm 4TEWH,MT,0.00,4.80,9310835900460,CABLE,PVC POWER CABLE,FLAT  TPS  POWER CABLE
10108911,LEGED770/4HWE,LEG,LEGED770/4HWE: Switch 4 Gang Horiz 16A 250V WH,EA,0.00,39.81,9321001422884,BAKELITE,DOMESTIC & ALLIED PRODUCTS,SWITCHES
10173640,NHPNL320L,NHP,NHPNL320L: Isolator SW 3P 20A 500VAC IP66 Grey,EA,0.00,21.49,9321807212344,INDUSTRIAL CONTROL,INDUSTRIAL SWITCHES,ISOLATOR MULTI PHASE SWITCH
10301477,PIEECOBAT202ECSLSG4,PIE,PIEECOBAT202ECSLSG4: ECO LED Colour Select Batten 2FT 18W Gen 4 Non-dimmable,EA,0.00,58.80,9319250659557,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10238826,AMPAPS40,AMP,AMPAPS40: Adaptor 40mm Plain To Screwed and LOCK0,EA,0.00,6.98,9323441039011,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10031890,CLI3044VA-VW,CLI,CLI3044VA-VW: Switch 4 Gang Vert 10A 250V VW,EA,0.00,35.44,9311554786120,BAKELITE,ICONIC,SWITCHES
10198617,TRDSC1620,TRD,TRDSC1620: Girder Clip Spring 16-20mm,EA,0.00,0.27,9323441014155,CABLE ACCESSORIES,CABLE CLIPS,CABLE CLIPS METAL
10353064,AMPCL16-8,AMP,AMPCL16-8: LUG 16MM2 M8,EA,0.00,1.33,9323441041618,CABLE ACCESSORIES,CABLE LUGS & LINKS,CABLE LUGS NON-INSULATED
10180888,OMEPBH735,OME,OMEPBH735: Screw Bugle Head 7g x 35mm,PK,0.00,8.42,9323441004255,TOOLS  FASTENERS  LADDERS & AC,FASTENERS,SCREWS
10125079,ETCFT2CE7135/500,ETC,ETCFT2CE7135/500: Cable Flat 2 Core & Earth 10.0mm,MT,0.00,9.53,,CABLE,PVC POWER CABLE,FLAT  TPS  POWER CABLE
10306472,AMPCB32,AMP,AMPCB32: Bend 90 Deg 32Mm Grey,EA,0.00,3.43,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10043749,CLI4CC4-WE,CLI,CLI4CC4-WE: Enclosure 4 Mod Surf Mnt WH,EA,0.00,15.52,9318795010953,BAKELITE,CONSUMER FUSE & SWITCHBOARDS,CONSUMER SWITCHBOARD-DIN/PORC.
10111342,CLEELIFE-X-LI,CLE,CLEELIFE-X-LI: Economy LED Lifelight Rec N/M 140mm Lith,EA,0.00,75.42,9332274033226,LIGHT FITTINGS,LED LIGHT FITTINGS,LED EMERGENCY LIGHT FITTINGS
10182329,HPMPE170/10,HPM,HPMPE170/10: Sunset Switch W/P 10A 250V IP56,EA,0.00,98.20,9310539013848,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PHOTO CELLS
10187756,TDRPUSWPV2G,TDR,TDRPUSWPV2G: Wall Plate 2 Gang Grid & Plate WH,EA,0.00,6.84,9349703004382,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PVC PLATES  GRIDS & MECHS
10010738,MMR11MM-TRIPOD-M,MMR,MMR11MM-TRIPOD-M: Tripod Mount Metal Roof,EA,0.00,38.28,9322190006572,MATV PRODUCTS,MATV PRODUCTS,MATV ANTENNA HARDWARE
10200233,SYASE7080/2TC/BK,SYA,SYASE7080/2TC/BK: LED Spot 2 x 15W IP54 3/4/5.7K Black,EA,0.00,66.25,,LIGHT FITTINGS,LED LIGHT FITTINGS,LED FLOOD LIGHT FITTINGS
10233149,OMEXLP20-4RD,OME,OMEXLP20-4RD: Heatshrink 20- 9.5mm 1.2MT Red,LN,0.00,6.24,9323441032470,CABLE ACCESSORIES,HEATSHRINK,HEAT SHRINK
10197136,SYAS9068TC/WH,SYA,SYAS9068TC/WH: LED Downlight 9W IP20 60 Deg. White TC COOLUM,EA,0.00,20.18,,LIGHT FITTINGS,LED LIGHT FITTINGS,LED LIGHT FITTINGS
10080410,PIEBWPECO404ECSLS,PIE,PIEBWPECO404ECSLS: BWP Eco LED W/Proof Batten Gen 2 40W,EA,0.00,70.52,9319250645789,LIGHT FITTINGS,LED LIGHT FITTINGS,LED INDUSTRIAL/COMMERCIAL LIGH
